,FF,Runout_Full,Matchups
191938,32.436345894,9s 7h 7d 4h As,372.60607473
191951,43.996422219,9s 7h 7d 5h Ac,727.49924696
191963,44.308224049,9s 7h 7d 5h Ad,455.97651006
191974,42.3906755,9s 7h 7d 5h Ah,576.7456558
191986,45.13238725,9s 7h 7d 5h As,393.75924825
191999,42.268422189,9s 7h 7d 6h Ac,1119.2385761
192011,43.897475511,9s 7h 7d 6h Ad,998.30133935
192022,41.763770913,9s 7h 7d 6h Ah,855.70872371
192034,43.84628039,9s 7h 7d 6h As,983.80524972
192047,63.872495632,9s 7h 7d 8h Ac,153.78407751
192059,66.222404637,9s 7h 7d 8h Ad,77.178801324
192070,57.380729982,9s 7h 7d 8h Ah,28.004744294
192082,66.943655424,9s 7h 7d 8h As,77.105689221
192095,37.396014172,9s 7h 7d 9h Ac,286.38536648
192107,38.051862236,9s 7h 7d 9h Ad,255.24826198
192118,33.789660923,9s 7h 7d 9h Ah,565.62069977
192130,38.630747373,9s 7h 7d 9h As,227.37634253
192143,36.514953266,9s 7h 7d Th Ac,625.29067209
192155,36.351999581,9s 7h 7d Th Ad,702.22272674
192166,32.448735653,9s 7h 7d Th Ah,438.4666789
192178,37.058232931,9s 7h 7d Th As,616.86621928
192191,28.141685443,9s 7h 7d Jh Ac,741.99804908
192203,27.553732761,9s 7h 7d Jh Ad,476.19395409
192214,26.046825357,9s 7h 7d Jh Ah,1.0885726713
192226,27.667877026,9s 7h 7d Jh As,434.9172953
192239,24.585727727,9s 7h 7d Qh Ac,0.0043567021842
192274,21.676155444,9s 7h 7d Qh As,0.013864241445
192287,27.464920074,9s 7h 7d Kh Ac,533.90460362
192299,27.948192421,9s 7h 7d Kh Ad,519.18799294
192310,28.154075326,9s 7h 7d Kh Ah,468.64229372
192322,27.785392842,9s 7h 7d Kh As,486.12631073
192383,31.907456562,9s 7h 7d 2s Ac,556.7965781
192395,32.192852551,9s 7h 7d 2s Ad,302.25701613
192407,32.192852551,9s 7h 7d 2s Ah,302.25701078
192418,37.570277977,9s 7h 7d 2s As,626.85047403
192431,32.125171566,9s 7h 7d 3s Ac,696.16698612
192443,32.73078243,9s 7h 7d 3s Ad,371.51941706
192455,32.73078243,9s 7h 7d 3s Ah,371.5194436
192466,38.081921345,9s 7h 7d 3s As,582.9095935
192479,32.300585878,9s 7h 7d 4s Ac,704.47505378
192491,32.717904912,9s 7h 7d 4s Ad,398.66865229
192503,32.717904912,9s 7h 7d 4s Ah,398.66866517
192514,39.386900834,9s 7h 7d 4s As,566.64384481
192527,43.716903561,9s 7h 7d 5s Ac,746.74048336
192539,44.691712259,9s 7h 7d 5s Ad,498.0235905
192551,44.691712259,9s 7h 7d 5s Ah,498.02367277
192562,41.738050184,9s 7h 7d 5s As,592.99509474
192575,41.25332156,9s 7h 7d 6s Ac,1188.1087405
192587,43.362025577,9s 7h 7d 6s Ad,994.83766193
192599,43.362025577,9s 7h 7d 6s Ah,994.83766479
192610,42.039681151,9s 7h 7d 6s As,1147.5620746
192623,30.458650603,9s 7h 7d 7s Ac,329.75002473
192635,30.121289666,9s 7h 7d 7s Ad,125.09299788
192647,30.121289666,9s 7h 7d 7s Ah,125.09299792
192658,29.690463202,9s 7h 7d 7s As,16.033774882
192671,59.787991499,9s 7h 7d 8s Ac,178.49495084
192683,60.460747357,9s 7h 7d 8s Ad,104.95254045
192695,60.460747357,9s 7h 7d 8s Ah,104.95252775
192706,54.616719955,9s 7h 7d 8s As,168.9602768
192719,37.291505154,9s 7h 7d Ts Ac,576.96415642
192731,36.79440992,9s 7h 7d Ts Ad,656.61900833
192743,36.79440992,9s 7h 7d Ts Ah,656.61900833
192754,34.545213696,9s 7h 7d Ts As,634.35919487
192767,28.057164606,9s 7h 7d Js Ac,618.45827303
192779,26.818504882,9s 7h 7d Js Ad,253.84609894
192791,26.818504882,9s 7h 7d Js Ah,253.84609815
192802,26.111873155,9s 7h 7d Js As,0.87709640764
192815,17.815015559,9s 7h 7d Qs Ac,0.060851301485
192827,25.823209895,9s 7h 7d Qs Ad,0.011075316973
192839,25.823209895,9s 7h 7d Qs Ah,0.011075316973
192863,28.171226516,9s 7h 7d Ks Ac,365.45355012
192875,28.517386903,9s 7h 7d Ks Ad,376.9313953
192887,28.517386903,9s 7h 7d Ks Ah,376.9313936
192898,28.498680849,9s 7h 7d Ks As,359.75967482
192959,30.959666315,9s 7s 4h 2c Ac,60.335242086
192972,30.980331715,9s 7s 4h 2c Ad,62.686085144
192984,29.892469528,9s 7s 4h 2c Ah,63.224312259
192995,31.818460857,9s 7s 4h 2c As,30.98495516
193007,30.910145922,9s 7s 4h 3c Ac,84.69766858
193020,31.148449379,9s 7s 4h 3c Ad,85.674258232
193032,28.833536187,9s 7s 4h 3c Ah,58.338560539
193043,29.460412331,9s 7s 4h 3c As,31.299085573
193055,30.650412751,9s 7s 4h 4c Ac,25.988280791
193068,30.699211389,9s 7s 4h 4c Ad,26.278379236
193080,32.275705681,9s 7s 4h 4c Ah,45.608232425
193091,32.407652042,9s 7s 4h 4c As,13.712082387
193103,30.038440416,9s 7s 4h 5c Ac,111.5353111
193116,29.944332935,9s 7s 4h 5c Ad,113.009052
193128,28.635403232,9s 7s 4h 5c Ah,102.5363825
193139,28.79235488,9s 7s 4h 5c As,192.21326472
193151,33.097400724,9s 7s 4h 6c Ac,113.26340992
193164,34.232906437,9s 7s 4h 6c Ad,83.356138335
193176,29.475113918,9s 7s 4h 6c Ah,146.96385993
193187,32.603333539,9s 7s 4h 6c As,166.10517934
193199,28.594549127,9s 7s 4h 7c Ac,4.9166085909
193212,28.105006156,9s 7s 4h 7c Ad,8.3760600022
193224,32.981870921,9s 7s 4h 7c Ah,26.82110543
193235,32.514165053,9s 7s 4h 7c As,1.5950342747
193247,37.915581421,9s 7s 4h 8c Ac,108.21737205
193260,38.340926231,9s 7s 4h 8c Ad,111.45590915
193272,34.717946218,9s 7s 4h 8c Ah,19.781708978
193283,38.402271557,9s 7s 4h 8c As,16.892790626
193295,30.654276008,9s 7s 4h 9c Ac,38.947030382
193308,30.326914984,9s 7s 4h 9c Ad,30.28894593
193320,32.536275777,9s 7s 4h 9c Ah,43.822653198
193331,31.52082488,9s 7s 4h 9c As,9.3997918242
193343,33.006610153,9s 7s 4h Tc Ac,417.94870243
193356,32.630592072,9s 7s 4h Tc Ad,409.95216309
193368,31.423104544,9s 7s 4h Tc Ah,386.02044497
193379,32.998320804,9s 7s 4h Tc As,332.66856989
193391,26.445251192,9s 7s 4h Jc Ac,305.40184831
193404,26.507114619,9s 7s 4h Jc Ad,284.95932793
193416,26.08517507,9s 7s 4h Jc Ah,108.00961939
193427,26.883261321,9s 7s 4h Jc As,20.534593901
193439,27.240937956,9s 7s 4h Qc Ac,21.92849043
193452,27.330577649,9s 7s 4h Qc Ad,32.787369277
193464,27.982925931,9s 7s 4h Qc Ah,11.411385416
193475,28.261889667,9s 7s 4h Qc As,6.9512763088
193584,30.980331715,9s 7s 4h 2d Ac,62.686085144
193596,30.959666315,9s 7s 4h 2d Ad,60.335242086
193608,29.892469528,9s 7s 4h 2d Ah,63.224301461
193619,31.818460857,9s 7s 4h 2d As,30.98495516
193632,31.148449379,9s 7s 4h 3d Ac,85.674258685
193644,30.910145922,9s 7s 4h 3d Ad,84.69766858
193656,28.833536187,9s 7s 4h 3d Ah,58.338560424
193667,29.460412331,9s 7s 4h 3d As,31.29908887
193680,30.699211389,9s 7s 4h 4d Ac,26.278377884
193692,30.650412751,9s 7s 4h 4d Ad,25.988280791
193704,32.275705681,9s 7s 4h 4d Ah,45.608232425
193715,32.407652042,9s 7s 4h 4d As,13.712082387
193728,29.944332935,9s 7s 4h 5d Ac,113.009052
193740,30.038440416,9s 7s 4h 5d Ad,111.5353111
193752,28.635403232,9s 7s 4h 5d Ah,102.5363825
193763,28.79235488,9s 7s 4h 5d As,192.21326288
193776,34.232906437,9s 7s 4h 6d Ac,83.356138335
193788,33.097400724,9s 7s 4h 6d Ad,113.26340992
193800,29.475113918,9s 7s 4h 6d Ah,146.96385993
193811,32.603333539,9s 7s 4h 6d As,166.1051775
193824,28.105006156,9s 7s 4h 7d Ac,8.3760600022
193836,28.594549127,9s 7s 4h 7d Ad,4.9166086193
193848,32.981870921,9s 7s 4h 7d Ah,26.82110543
193859,32.514165053,9s 7s 4h 7d As,1.5950342454
193872,38.340926231,9s 7s 4h 8d Ac,111.45590961
193884,37.915581421,9s 7s 4h 8d Ad,108.21736306
193896,34.717946218,9s 7s 4h 8d Ah,19.78170748
193907,38.402271557,9s 7s 4h 8d As,16.892790626
193920,30.326914984,9s 7s 4h 9d Ac,30.28894593
193932,30.654276008,9s 7s 4h 9d Ad,38.947030439
193944,32.536275777,9s 7s 4h 9d Ah,43.822653251
193955,31.52082488,9s 7s 4h 9d As,9.3997923168
193968,32.630592072,9s 7s 4h Td Ac,409.95216264
193980,33.006610153,9s 7s 4h Td Ad,417.94862291
193992,31.423104544,9s 7s 4h Td Ah,386.02044497
194003,32.998320804,9s 7s 4h Td As,332.66850833
194016,26.507114619,9s 7s 4h Jd Ac,284.95932793
194028,26.445251192,9s 7s 4h Jd Ad,305.40184831
194040,26.08517507,9s 7s 4h Jd Ah,108.00961939
194051,26.883261321,9s 7s 4h Jd As,20.534595783
194064,27.330577649,9s 7s 4h Qd Ac,32.787363735
194076,27.240937956,9s 7s 4h Qd Ad,21.92849043
194088,27.982925931,9s 7s 4h Qd Ah,11.411384449
194099,28.261889667,9s 7s 4h Qd As,6.9512763088
194208,28.148749391,9s 7s 4h 2h Ac,0.2810819392
194221,28.148749391,9s 7s 4h 2h Ad,0.2810819392
194232,29.267452952,9s 7s 4h 2h Ah,0.58691862104
194243,33.134072159,9s 7s 4h 2h As,3.7801894897
194256,30.184301627,9s 7s 4h 3h Ac,22.759698701
194269,30.184301627,9s 7s 4h 3h Ad,22.759698701
194280,35.579995379,9s 7s 4h 3h Ah,236.32394829
194291,31.662040444,9s 7s 4h 3h As,14.237461179
194304,32.767450145,9s 7s 4h 5h Ac,24.30976022
194317,32.767450145,9s 7s 4h 5h Ad,24.309766063
194328,33.368976849,9s 7s 4h 5h Ah,220.46348321
194339,30.589561755,9s 7s 4h 5h As,0.76490400013
194352,40.40144042,9s 7s 4h 6h Ac,99.455688847
194365,40.40144042,9s 7s 4h 6h Ad,99.455688847
194376,36.367523747,9s 7s 4h 6h Ah,273.89684465
194387,38.717183843,9s 7s 4h 6h As,0.92873768807
194400,28.151839676,9s 7s 4h 7h Ac,21.477925844
194413,28.151839676,9s 7s 4h 7h Ad,21.477925844
194424,35.331154138,9s 7s 4h 7h Ah,16.103498111
194435,28.457687446,9s 7s 4h 7h As,0.29075427916
194448,41.113569008,9s 7s 4h 8h Ac,54.295474623
194461,41.113569008,9s 7s 4h 8h Ad,54.295474623
194472,42.124489304,9s 7s 4h 8h Ah,37.827873136
194483,44.836827457,9s 7s 4h 8h As,19.20939744
194496,26.972024592,9s 7s 4h 9h Ac,11.65694511
194509,26.972024592,9s 7s 4h 9h Ad,11.65694507
194520,36.965362928,9s 7s 4h 9h Ah,32.225774245
194531,31.939080243,9s 7s 4h 9h As,8.4004781674
194544,30.174466582,9s 7s 4h Th Ac,258.55704319
194557,30.174466582,9s 7s 4h Th Ad,258.55706382
194568,31.789463803,9s 7s 4h Th Ah,250.27096226
194579,33.174894979,9s 7s 4h Th As,252.01279166
194592,27.313094724,9s 7s 4h Jh Ac,212.86281442
194605,27.313094724,9s 7s 4h Jh Ad,212.86281442
194616,26.892035048,9s 7s 4h Jh Ah,125.14616508
194627,27.037896657,9s 7s 4h Jh As,94.060370208
194640,26.479923718,9s 7s 4h Qh Ac,43.748903569
194653,26.479923718,9s 7s 4h Qh Ad,43.748903569
194664,30.491792692,9s 7s 4h Qh Ah,1.9900952727
194675,23.268680245,9s 7s 4h Qh As,0.027833837493
194784,30.517807247,9s 7s 4h 2s Ac,47.66152641
194797,30.517807247,9s 7s 4h 2s Ad,47.661526349
194809,29.594249573,9s 7s 4h 2s Ah,126.96675647
194819,24.857374808,9s 7s 4h 2s As,279.62763135
194832,30.558165651,9s 7s 4h 3s Ac,96.216388396
194845,30.558165651,9s 7s 4h 3s Ad,96.216388396
194857,29.211944451,9s 7s 4h 3s Ah,37.905924502
194867,25.070267722,9s 7s 4h 3s As,303.51008483
194880,29.897292187,9s 7s 4h 4s Ac,14.81264474
194893,29.897292187,9s 7s 4h 4s Ad,14.81264474
194905,31.386599014,9s 7s 4h 4s Ah,20.375201603
194915,25.0293254,9s 7s 4h 4s As,23.739402476
194928,29.269539537,9s 7s 4h 5s Ac,1.0516778
194941,29.269539537,9s 7s 4h 5s Ad,1.0516776589
194953,30.408206062,9s 7s 4h 5s Ah,89.332810351
194963,25.655780106,9s 7s 4h 5s As,208.46308722
194976,30.312106526,9s 7s 4h 6s Ac,2.7704166685
194989,30.312106526,9s 7s 4h 6s Ad,2.7704166685
195001,29.376001259,9s 7s 4h 6s Ah,39.895076004
195011,27.153117599,9s 7s 4h 6s As,6.4237385394
195024,32.639825622,9s 7s 4h 8s Ac,95.039434091
195037,32.639825622,9s 7s 4h 8s Ad,95.039434091
195049,31.210585794,9s 7s 4h 8s Ah,37.239813291
195059,26.641898838,9s 7s 4h 8s As,3.8136132194
195072,28.382362338,9s 7s 4h Ts Ac,59.030464827
195085,28.382362338,9s 7s 4h Ts Ad,59.030464827
195097,28.837112221,9s 7s 4h Ts Ah,33.64451614
195107,27.153578572,9s 7s 4h Ts As,1.6804666067
195120,27.644136398,9s 7s 4h Js Ac,138.55497821
195133,27.644136398,9s 7s 4h Js Ad,138.55499776
195145,27.326780518,9s 7s 4h Js Ah,138.7085412
195155,24.526337127,9s 7s 4h Js As,41.258128022
195168,27.189322479,9s 7s 4h Qs Ac,0.83566486367
195181,27.189322479,9s 7s 4h Qs Ad,0.8356649595
195193,24.985019729,9s 7s 4h Qs Ah,0.010284439781
195203,24.145505542,9s 7s 4h Qs As,79.85987011
195216,30.502794675,9s 7s 4h Ks Ac,79.394881106
195229,30.502794675,9s 7s 4h Ks Ad,79.394881106
195241,29.867382969,9s 7s 4h Ks Ah,60.450378097
195251,26.076079949,9s 7s 4h Ks As,102.51381358
195312,29.046177943,9s 8h 2d 2c Ac,2.1942265663
195324,26.913656277,9s 8h 2d 2c Ad,1.2371783035
195336,32.88170141,9s 8h 2d 2c Ah,0.65117750658
195348,29.646429911,9s 8h 2d 2c As,3.385828597
195360,28.909417692,9s 8h 2d 3c Ac,27.750743859
195372,29.397473397,9s 8h 2d 3c Ad,88.824360709
195384,29.044104384,9s 8h 2d 3c Ah,99.238785379
195396,29.228119817,9s 8h 2d 3c As,89.814478728
195408,28.987339311,9s 8h 2d 4c Ac,15.435818439
195420,30.107780841,9s 8h 2d 4c Ad,73.93754633
195432,30.043592637,9s 8h 2d 4c Ah,78.751601192
195444,29.878061881,9s 8h 2d 4c As,74.439641997
195456,28.555350122,9s 8h 2d 5c Ac,115.56131845
195468,29.12414945,9s 8h 2d 5c Ad,280.4022188
195480,29.246973899,9s 8h 2d 5c Ah,297.62381452
195492,29.376063658,9s 8h 2d 5c As,276.02342275
195504,28.402566973,9s 8h 2d 6c Ac,342.31106632
195516,28.75543619,9s 8h 2d 6c Ad,281.39093182
195528,28.809132992,9s 8h 2d 6c Ah,228.63916696
195540,28.85650062,9s 8h 2d 6c As,236.89997086
195552,33.745899937,9s 8h 2d 7c Ac,258.26456689
195564,31.016989505,9s 8h 2d 7c Ad,206.7594602
195576,31.035886452,9s 8h 2d 7c Ah,197.6583047
195588,30.601511472,9s 8h 2d 7c As,210.01274859
195600,25.749570842,9s 8h 2d 8c Ac,0.58795592875
195612,28.648800495,9s 8h 2d 8c Ad,1.6442124622
195624,27.767817276,9s 8h 2d 8c Ah,1.923799616
195636,27.282185486,9s 8h 2d 8c As,1.9598706037
195648,24.154722706,9s 8h 2d 9c Ac,0.12075235949
195660,29.680556651,9s 8h 2d 9c Ad,1.9280367405
195672,30.376777124,9s 8h 2d 9c Ah,1.8383232042
195684,28.607985526,9s 8h 2d 9c As,0.74192096536
195708,29.33167073,9s 8h 2d Tc Ad,0.012001266707
195732,24.528211161,9s 8h 2d Tc As,0.063239063102
195744,30.162426616,9s 8h 2d Jc Ac,194.47723355
195756,30.207378135,9s 8h 2d Jc Ad,198.03317879
195768,30.376270267,9s 8h 2d Jc Ah,206.55542493
195780,30.31532921,9s 8h 2d Jc As,174.01540041
195792,30.342404699,9s 8h 2d Qc Ac,0.24876296316
195804,31.285806479,9s 8h 2d Qc Ad,0.024012443283
195816,31.822902931,9s 8h 2d Qc Ah,0.38079949337
195828,28.495235013,9s 8h 2d Qc As,0.0018744624477
195840,37.921300248,9s 8h 2d Kc Ac,0.23267863639
195852,40.406631683,9s 8h 2d Kc Ad,0.21491190103
195864,37.554251767,9s 8h 2d Kc Ah,0.19962223296
195876,39.013492853,9s 8h 2d Kc As,0.21862646379
195937,28.092753791,9s 8h 2d 3d Ac,100.33705747
195948,28.317741218,9s 8h 2d 3d Ad,65.789629237
195960,29.573335534,9s 8h 2d 3d Ah,99.265689954
195972,29.640817657,9s 8h 2d 3d As,87.756634398
195985,28.758038379,9s 8h 2d 4d Ac,82.730820859
195996,28.449408141,9s 8h 2d 4d Ad,52.797559504
196008,29.84665203,9s 8h 2d 4d Ah,82.510871238
196020,29.508816128,9s 8h 2d 4d As,75.258187345
196033,28.549024627,9s 8h 2d 5d Ac,182.30763739
196044,29.183516379,9s 8h 2d 5d Ad,347.92942296
196056,29.001570031,9s 8h 2d 5d Ah,322.2560113
196068,29.068772781,9s 8h 2d 5d As,272.13672511
196081,27.785090784,9s 8h 2d 6d Ac,358.6323058
196092,28.503226915,9s 8h 2d 6d Ad,386.16894511
196104,28.802463188,9s 8h 2d 6d Ah,202.00870726
196116,28.461011597,9s 8h 2d 6d As,195.25489962
196129,33.840273515,9s 8h 2d 7d Ac,52.393773042
196140,32.176891242,9s 8h 2d 7d Ad,52.787232484
196152,31.746114442,9s 8h 2d 7d Ah,79.350854814
196164,31.370859666,9s 8h 2d 7d As,85.466947507
196177,28.146229755,9s 8h 2d 8d Ac,16.591933546
196188,30.240423933,9s 8h 2d 8d Ad,36.617754193
196200,28.85304991,9s 8h 2d 8d Ah,4.0876666436
196212,27.7952241,9s 8h 2d 8d As,3.4041778035
196225,27.773599521,9s 8h 2d 9d Ac,40.481921484
196236,29.078548244,9s 8h 2d 9d Ad,54.174666971
196248,28.000149473,9s 8h 2d 9d Ah,9.0019794784
196260,28.127991334,9s 8h 2d 9d As,2.6720143069
196284,22.411895827,9s 8h 2d Td Ad,0.063382947006
196321,29.99109888,9s 8h 2d Jd Ac,64.474010219
196332,30.698139412,9s 8h 2d Jd Ad,221.67995108
196344,29.891042867,9s 8h 2d Jd Ah,110.9081622
196356,29.216205307,9s 8h 2d Jd As,62.623756437
196380,31.447215342,9s 8h 2d Qd Ad,0.14409901435
196392,30.456809326,9s 8h 2d Qd Ah,0.043689200992
196404,29.05573646,9s 8h 2d Qd As,1.2069758888
196417,21.724751795,9s 8h 2d Kd Ac,4.0840248226
196428,24.223418552,9s 8h 2d Kd Ad,2.2854636648
196440,24.065669513,9s 8h 2d Kd Ah,3.362165024
196452,22.930228529,9s 8h 2d Kd As,2.6664596273
196513,28.153959692,9s 8h 2d 2h Ac,37.115847029
196525,30.521836171,9s 8h 2d 2h Ad,0.15076827341
196536,27.452927126,9s 8h 2d 2h Ah,0.28289845626
196548,27.9972059,9s 8h 2d 2h As,0.76041222385
196561,28.305261787,9s 8h 2d 3h Ac,79.029081508
196573,29.893901763,9s 8h 2d 3h Ad,81.781501447
196584,28.33309895,9s 8h 2d 3h Ah,34.495144087
196596,29.368241355,9s 8h 2d 3h As,48.290239753
196609,29.417345944,9s 8h 2d 4h Ac,67.494821931
196621,29.303605472,9s 8h 2d 4h Ad,90.000851762
196632,28.389325976,9s 8h 2d 4h Ah,18.610309456
196644,29.218294872,9s 8h 2d 4h As,53.857818552
196657,28.520512473,9s 8h 2d 5h Ac,162.78649822
196669,29.043552845,9s 8h 2d 5h Ad,221.66749967
196680,29.106656916,9s 8h 2d 5h Ah,410.02645589
196692,28.641601643,9s 8h 2d 5h As,245.14460783
196705,27.931816524,9s 8h 2d 6h Ac,327.16510913
196717,27.976263549,9s 8h 2d 6h Ad,239.81197352
196728,28.592675905,9s 8h 2d 6h Ah,413.41024476
196740,27.757158762,9s 8h 2d 6h As,214.17933701
196753,33.408657857,9s 8h 2d 7h Ac,39.031971789
196765,31.995443989,9s 8h 2d 7h Ad,70.048300116
196776,31.881741785,9s 8h 2d 7h Ah,51.671226956
196788,32.249394528,9s 8h 2d 7h As,70.160439616
196801,28.387616222,9s 8h 2d 9h Ac,57.752406347
196813,28.084916235,9s 8h 2d 9h Ad,3.9343809418
196824,27.605060448,9s 8h 2d 9h Ah,40.993128385
196836,28.236243122,9s 8h 2d 9h As,4.6584113463
196849,21.614847908,9s 8h 2d Th Ac,0.022519605172
196872,27.25706701,9s 8h 2d Th Ah,0.046235139774
196897,30.133186344,9s 8h 2d Jh Ac,76.07252714
196909,30.12820093,9s 8h 2d Jh Ad,58.37300444
196920,30.918447789,9s 8h 2d Jh Ah,191.59492634
196932,30.320055156,9s 8h 2d Jh As,75.179658079
196957,30.045460874,9s 8h 2d Qh Ad,5.4649227066
196968,31.211483659,9s 8h 2d Qh Ah,0.38640020362
196980,29.37033722,9s 8h 2d Qh As,0.61291771305
196993,26.986435231,9s 8h 2d Kh Ac,6.7396872562
197005,26.358755078,9s 8h 2d Kh Ad,4.6693709246
197016,30.769433419,9s 8h 2d Kh Ah,4.7026937431
197028,28.321440425,9s 8h 2d Kh As,3.6418894443
197089,28.164452297,9s 8h 2d 2s Ac,57.063654532
197101,28.820945211,9s 8h 2d 2s Ad,0.76428589837
197113,29.654366186,9s 8h 2d 2s Ah,0.78569254774
197137,27.867926427,9s 8h 2d 3s Ac,93.075698969
197149,28.854045257,9s 8h 2d 3s Ad,75.87880425
197161,29.266246259,9s 8h 2d 3s Ah,69.678194445
197172,28.127600762,9s 8h 2d 3s As,14.028100127
197185,28.307924334,9s 8h 2d 4s Ac,84.59475627
197197,29.382932207,9s 8h 2d 4s Ad,70.037727802
197209,29.276323176,9s 8h 2d 4s Ah,59.569305088
197220,28.791585828,9s 8h 2d 4s As,12.27990335
197233,28.463603371,9s 8h 2d 5s Ac,185.92024926
197245,28.88880277,9s 8h 2d 5s Ad,279.2053658
197257,28.792020554,9s 8h 2d 5s Ah,310.69013618
197268,29.2951703,9s 8h 2d 5s As,309.99610446
197281,27.647181048,9s 8h 2d 6s Ac,406.02669432
197293,28.48406972,9s 8h 2d 6s Ad,209.02136852
197305,28.481088024,9s 8h 2d 6s Ah,224.97304084
197316,28.64677258,9s 8h 2d 6s As,378.79014196
197329,34.003617001,9s 8h 2d 7s Ac,49.227102922
197341,31.897516613,9s 8h 2d 7s Ad,66.577601872
197353,32.005432967,9s 8h 2d 7s Ah,67.885835577
197364,32.6971251,9s 8h 2d 7s As,75.439269863
197377,27.787604945,9s 8h 2d 8s Ac,31.939209519
197389,29.609101827,9s 8h 2d 8s Ad,0.61679071802
197401,28.697927859,9s 8h 2d 8s Ah,0.37090067547
197412,29.575722589,9s 8h 2d 8s As,12.346687329
197437,27.561562458,9s 8h 2d Ts Ad,0.16225190617
197460,22.042167196,9s 8h 2d Ts As,0.018558927774
197473,30.526863122,9s 8h 2d Js Ac,45.610919369
197485,29.165792511,9s 8h 2d Js Ad,40.614847598
197497,30.155949578,9s 8h 2d Js Ah,81.188790877
197508,30.135491637,9s 8h 2d Js As,213.81739578
197533,29.096241835,9s 8h 2d Qs Ad,2.4925745092
197545,29.741746372,9s 8h 2d Qs Ah,3.3657382345
197556,29.5067513,9s 8h 2d Qs As,0.7312186052
197569,28.871845719,9s 8h 2d Ks Ac,10.346909514
197581,26.936189026,9s 8h 2d Ks Ad,8.0679790205
197593,28.450156304,9s 8h 2d Ks Ah,8.4882360449
197604,23.477280575,9s 8h 2d Ks As,1.4701823024
197665,22.893530138,9s 8h 2h 2c Ac,0.041162609032
197678,25.767532543,9s 8h 2h 2c Ad,0.33633856832
197689,29.001721901,9s 8h 2h 2c Ah,0.065741924303
197701,37.023228474,9s 8h 2h 2c As,24.052730059
197713,34.010198214,9s 8h 2h 3c Ac,23.499693507
197726,33.422798094,9s 8h 2h 3c Ad,16.951933793
197737,30.921323611,9s 8h 2h 3c Ah,24.233544459
197749,36.734856378,9s 8h 2h 3c As,21.035030882
197761,32.484558197,9s 8h 2h 4c Ac,6.9399516227
197774,32.39529347,9s 8h 2h 4c Ad,5.6200693519
197785,31.060550726,9s 8h 2h 4c Ah,18.535616834
197797,32.929250742,9s 8h 2h 4c As,26.727868611
197809,29.332225799,9s 8h 2h 5c Ac,15.657863639
197822,29.510866385,9s 8h 2h 5c Ad,19.647898011
197833,27.738597265,9s 8h 2h 5c Ah,1.8665092007
197845,34.18557085,9s 8h 2h 5c As,36.610366533
197857,26.795112236,9s 8h 2h 6c Ac,1.3026585514
197870,27.159288403,9s 8h 2h 6c Ad,6.573452691
197881,27.607721479,9s 8h 2h 6c Ah,19.49295516
197893,29.609363634,9s 8h 2h 6c As,69.510690117
197905,32.975276763,9s 8h 2h 7c Ac,88.662266666
197918,33.762100282,9s 8h 2h 7c Ad,86.584298935
197929,31.624049306,9s 8h 2h 7c Ah,106.65330127
197941,29.519465623,9s 8h 2h 7c As,107.60510005
197953,28.81698051,9s 8h 2h 8c Ac,16.978143103
197966,28.377961118,9s 8h 2h 8c Ad,11.729915417
197977,30.597890428,9s 8h 2h 8c Ah,8.7021695745
197989,32.753692032,9s 8h 2h 8c As,5.6028472529
198001,26.543572474,9s 8h 2h 9c Ac,2.8783391377
198014,26.788301609,9s 8h 2h 9c Ad,2.9597574829
198025,30.155222418,9s 8h 2h 9c Ah,2.3648330835
198037,34.698387665,9s 8h 2h 9c As,4.0542431832
198049,30.938175712,9s 8h 2h Tc Ac,89.739308089
198062,30.995395747,9s 8h 2h Tc Ad,88.972671369
198073,32.727119636,9s 8h 2h Tc Ah,86.128863624
198085,32.056406484,9s 8h 2h Tc As,27.730764083
198097,28.281143247,9s 8h 2h Jc Ac,153.19769784
198110,28.419758419,9s 8h 2h Jc Ad,172.75745091
198121,28.457041645,9s 8h 2h Jc Ah,155.00798049
198133,27.199012871,9s 8h 2h Jc As,244.61554475
198145,28.847773698,9s 8h 2h Qc Ac,2.372127553
198158,29.30244592,9s 8h 2h Qc Ad,3.5188880733
198169,31.530364626,9s 8h 2h Qc Ah,9.4163572074
198181,27.781310342,9s 8h 2h Qc As,0.43614762503
198290,25.767532543,9s 8h 2h 2d Ac,0.33633856832
198302,22.893530138,9s 8h 2h 2d Ad,0.041162609032
198313,29.001721901,9s 8h 2h 2d Ah,0.065741924303
198325,37.023228474,9s 8h 2h 2d As,24.052730059
198338,33.422798094,9s 8h 2h 3d Ac,16.951933793
198350,34.010198214,9s 8h 2h 3d Ad,23.499693507
198361,30.921323611,9s 8h 2h 3d Ah,24.233544459
198373,36.734856378,9s 8h 2h 3d As,21.035030882
198386,32.39529347,9s 8h 2h 4d Ac,5.6200693519
198398,32.484558197,9s 8h 2h 4d Ad,6.9399516227
198409,31.060550726,9s 8h 2h 4d Ah,18.535616834
198421,32.929250742,9s 8h 2h 4d As,26.727868611
198434,29.510866385,9s 8h 2h 5d Ac,19.647894648
198446,29.332225799,9s 8h 2h 5d Ad,15.657866264
198457,27.738597265,9s 8h 2h 5d Ah,1.8665092016
198469,34.18557085,9s 8h 2h 5d As,36.610366533
198482,27.159288403,9s 8h 2h 6d Ac,6.573452691
