,Category(1),Average Pot Capture(1),Pot Capture Certainty (95% Confidence)(1),Meets Criteria? (<5%) (1)
0,AceHighOverRiver,0.13963380950565882,0.006916295073071017,YES
0,AceHighOverTurn,0.06992477337264727,0.009020542834279107,YES
0,AceHighFlop,0.12377855686480059,0.003022204111072528,YES
0,BroadwayRiverOvercard,0.10606227294535088,0.007560015141112309,YES
0,BroadwayTurnOvercard,0.09138097431252543,0.007555537014560999,YES
0,Flop2BLowTurnRiver,0.12319531583329589,0.008755145651760226,YES
0,Flop3BLowTurnRiver,0.12814522952792878,0.0159992316650234,YES
0,Low_Through_River,0.16938819871303504,0.0033273203713860043,YES
0,Pairing_River,0.1738441250077898,0.003892765422627368,YES
0,Pairing_Turn,0.13112558396141524,0.004166234776897252,YES
0,Paired_Flop,0.17404997900641309,0.0034951725364694717,YES
0,Set_Flop,0.18563661319283484,0.0176214049173659,YES
0,Non_FlushClose_River,0.1636312517661542,0.00209940764191575,YES
0,FlushClose_River,0.18083311164854826,0.0034240668199569412,YES
0,Rainbow_Turn,0.13384820663791958,0.005251898264131731,YES
0,FlushClose_Turn,0.120787561254074,0.005454796695557732,YES
0,Monotone_Flop,0.2233400973493559,0.008068463177629258,YES
0,FlushRiver_4Card,0.09807543005024545,0.009602355813998332,YES
0,StraightRiver_4Card,0.1670009486224572,0.00424749529853517,YES
0,FlushTurn_4Card,0.16188705042277715,0.013500907660035238,YES
0,StraightTurn_4Card,0.16945505818890103,0.00732066031643468,YES
